q,ic50
0,11.752414490916859
0.01,172.28935818309589
0.02,273.96808818859535
0.03,389.6727068232628
0.04,488.61485746606195
0.05,592.3327711058186
0.06,725.2352493624416
0.07,843.6873494083352
0.08,983.575577135095
0.09,1103.5471400220965
0.1,1247.1286788311393
0.11,1402.2201663091587
0.12,1567.8915958649773
0.13,1715.4623308877212
0.14,1911.0990506464768
0.15,2085.1831991471113
0.16,2322.5080203268894
0.17,2524.515662534215
0.18,2722.52513158627
0.19,2926.326890991149
0.2,3233.917828185354
0.21,3494.031983443059
0.22,3781.3760470401903
0.23,4079.3102711454226
0.24,4366.472745049007
0.25,4650.7316333999115
0.26,4932.1652258384265
0.27,5257.529892355559
0.28,5596.8107953582585
0.29,5901.771934557432
0.3,6269.026769087008
0.31,6687.624113746311
0.32,7101.3501092406
0.33,7636.7707567406105
0.34,8182.186276838671
0.35000000000000003,8706.082546331716
0.36,9312.49734625997
0.37,9904.611993971253
0.38,10493.466047238446
0.39,11157.175347355496
0.4,11823.553571937402
0.41000000000000003,12641.048739270096
0.42,13433.715551012629
0.43,14251.52634625868
0.44,15030.782301340307
0.45,15990.788878485499
0.46,17089.53212818531
0.47000000000000003,18132.877882635887
0.48,19418.956660029122
0.49,20683.702920776075
0.5,21940.31962235012
0.51,23555.306560964906
0.52,24988.62444647369
0.53,26594.220386095505
0.54,28656.153452140315
0.55,30370.854418776973
0.56,32445.58797995006
0.5700000000000001,34633.23636366826
0.58,36747.085654655944
0.59,39430.72407883203
0.6,41811.29065911306
0.61,44618.12026037308
0.62,48333.81638173174
0.63,51408.20889746595
0.64,55284.541295706484
0.65,58687.199769135594
0.66,63475.50188155573
0.67,67872.89123245729
0.68,72962.01300630266
0.6900000000000001,77826.85660292924
0.7000000000000001,85265.84272350173
0.71,91573.35922465814
0.72,97554.04237693397
0.73,105482.45933152837
0.74,113293.53308336699
0.75,122606.27173594266
0.76,132359.6304458121
0.77,143351.6419830385
0.78,154557.29235032407
0.79,167486.63435355172
0.8,182984.96015274734
0.81,198833.8157422548
0.8200000000000001,218303.6967755909
0.8300000000000001,239089.71228397806
0.84,262639.7517952785
0.85,290477.4170217303
0.86,323121.25936745165
0.87,349325.07789879333
0.88,383745.56161199533
0.89,438270.2743047045
0.9,501786.2751813158
0.91,550948.0600788039
0.92,629134.4667269075
0.93,724106.5005979198
0.9400000000000001,847045.4143976966
0.9500000000000001,1061870.3664974326
0.96,1354777.2947027863
0.97,1729060.923465105
0.98,2421867.581759177
0.99,4146371.5836413414
1,37585272.213818714
