q,ic50
0,1.756366317973334
0.01,190.777466201226
0.02,580.8692875570264
0.03,1048.1753316938684
0.04,1751.754971274465
0.05,2643.816600388931
0.06,3858.8338362724435
0.07,5081.6369407668935
0.08,6932.982329614261
0.09,8919.941657739133
0.1,11173.8965365191
0.11,13557.67460090081
0.12,16143.443038978085
0.13,18841.757038355365
0.14,21757.402018437486
0.15,24845.921829194176
0.16,28308.107444844136
0.17,32275.3642289046
0.18,37118.11518341242
0.19,42744.4516011083
0.2,49712.631577838845
0.21,55479.65359243519
0.22,61943.90912968012
0.23,69317.29369048463
0.24,78163.37357734343
0.25,85939.6417533496
0.26,94635.60111989646
0.27,103050.29844353117
0.28,112877.30263509585
0.29,123457.07370484629
0.3,137117.43351899175
0.31,147260.36560026417
0.32,161324.69727504093
0.33,174785.90001275155
0.34,189573.80576990283
0.35000000000000003,203583.4573900393
0.36,219908.75502938323
0.37,240707.70513623845
0.38,256519.8168788895
0.39,275423.13026367186
0.4,296845.7643685472
0.41000000000000003,320196.62474677333
0.42,343057.79528066213
0.43,363924.56105505966
0.44,391289.50205859623
0.45,419742.91310617747
0.46,445802.3695969203
0.47000000000000003,474100.96648351074
0.48,510235.8556224257
0.49,543090.0875487628
0.5,580251.1050204039
0.51,618610.1524154167
0.52,662470.7318083341
0.53,708988.8534667647
0.54,749473.5580432201
0.55,794037.0060584804
0.56,836616.9063634684
0.5700000000000001,891550.1231700899
0.58,960773.5088271976
0.59,1028586.7115845669
0.6,1095344.6216166853
0.61,1163277.108942272
0.62,1250199.4901452772
0.63,1336487.9861243395
0.64,1415847.2708022152
0.65,1503435.9121674714
0.66,1593912.4942664318
0.67,1701630.7145365167
0.68,1824572.1805130555
0.6900000000000001,1936934.2308330727
0.7000000000000001,2060301.3616332689
0.71,2192491.9996637097
0.72,2333905.3840478747
0.73,2508370.6123178485
0.74,2676048.4485593075
0.75,2881953.284462466
0.76,3086371.333036216
0.77,3286037.0455463035
0.78,3546793.7851044005
0.79,3852527.467060792
0.8,4206088.919903619
0.81,4518638.641363896
0.8200000000000001,4856592.407093711
0.8300000000000001,5290678.116698084
0.84,5796954.719270429
0.85,6380315.113714688
0.86,7110093.2826295905
0.87,7960901.807474432
0.88,8759636.408425573
0.89,9726476.35920747
0.9,11010258.47135487
0.91,12134529.849090228
0.92,13867508.613324227
0.93,16134449.2710035
0.9400000000000001,19479534.09782318
0.9500000000000001,22905368.03987397
0.96,28334398.771745697
0.97,36641778.88551014
0.98,54467412.50340633
0.99,93387809.39387287
1,786632707.43864
