q,ic50
0,1.2325714387424698
0.01,83.61199243633328
0.02,215.0862119524004
0.03,371.5506616604667
0.04,542.6858947329317
0.05,769.9808057922386
0.06,1041.3243974789548
0.07,1387.776723798285
0.08,1811.9818047739243
0.09,2272.668863236943
0.1,2849.2716552880825
0.11,3529.2403146251045
0.12,4261.552107135399
0.13,5040.7890053204865
0.14,5910.5246742490135
0.15,6937.667301190388
0.16,7808.314420721732
0.17,9018.226510652024
0.18,10181.761876547756
0.19,11499.054225847256
0.2,12889.927575146976
0.21,14446.15472101257
0.22,16007.937140431906
0.23,17640.719564978066
0.24,19434.163629725386
0.25,21422.505456099545
0.26,23573.86499729345
0.27,25972.55442262691
0.28,28814.636326099448
0.29,31336.859906077014
0.3,33955.19017206571
0.31,37408.885253570515
0.32,40973.18188168531
0.33,44248.005363410615
0.34,48672.22724794921
0.35000000000000003,52987.423623004914
0.36,57888.676764840384
0.37,64175.03930467722
0.38,68901.88120150751
0.39,74148.8387142673
0.4,80769.87419668696
0.41000000000000003,87851.24084692277
0.42,94178.31289861788
0.43,101279.28192344846
0.44,108607.44031701608
0.45,118057.33927550356
0.46,128755.9236389012
0.47000000000000003,140854.94025013183
0.48,150352.6982114275
0.49,161732.26850358633
0.5,173883.23077706678
0.51,188221.09309852842
0.52,202042.45289321995
0.53,218466.16283437223
0.54,234962.96259651508
0.55,254502.6876266409
0.56,278099.13643220963
0.5700000000000001,305201.1595169722
0.58,327822.1283450634
0.59,350937.4376556319
0.6,380908.02132801246
0.61,414521.2939152665
0.62,445752.87690180447
0.63,486066.48829359916
0.64,530371.1425651931
0.65,580692.2535301659
0.66,628229.817685912
0.67,678225.9915320382
0.68,732399.7041349825
0.6900000000000001,801424.9004075631
0.7000000000000001,868735.8955802367
0.71,948111.0208417533
0.72,1027939.4973182736
0.73,1127010.9586338608
0.74,1219994.8547860368
0.75,1325820.8264758456
0.76,1438381.9829064081
0.77,1563505.0866100811
0.78,1712807.6417154898
0.79,1854259.9420790921
0.8,2062566.4546201234
0.81,2255727.010091763
0.8200000000000001,2518130.1218677796
0.8300000000000001,2768078.5445871223
0.84,3068350.6692442195
0.85,3378194.171823924
0.86,3753549.1670683906
0.87,4144338.6897933385
0.88,4733224.681531496
0.89,5493535.167868047
0.9,6268721.52836113
0.91,7213253.754132925
0.92,8348658.660831648
0.93,10055563.745838197
0.9400000000000001,12468020.473091349
0.9500000000000001,15195133.488741107
0.96,19095154.260583486
0.97,26649674.114663795
0.98,40466640.57213137
0.99,74669167.92788032
1,710021827.4824183
