q,ic50
0,470.00428782493094
0.01,1818.5127555692634
0.02,2472.1864644666284
0.03,3032.7881636022385
0.04,3608.1193939452583
0.05,4073.240202499185
0.06,4472.93744622818
0.07,4911.047079150482
0.08,5260.574618041062
0.09,5805.730527159109
0.1,6142.427896855044
0.11,6423.967978612842
0.12,6828.195443232178
0.13,7173.086402639845
0.14,7579.646282219497
0.15,8021.708756775095
0.16,8457.059817865244
0.17,8818.107667728054
0.18,9264.460129588571
0.19,9709.712508561868
0.2,10159.203282248574
0.21,10716.11626379699
0.22,11153.055720351625
0.23,11650.16352579254
0.24,12077.256448186823
0.25,12560.448864669586
0.26,13035.926678831716
0.27,13558.784782095896
0.28,14150.087085942709
0.29,14591.030809374923
0.3,15111.083030321835
0.31,15671.520438443054
0.32,16224.824392581864
0.33,16718.302658426437
0.34,17285.722034531766
0.35000000000000003,17868.344937320195
0.36,18382.36603369263
0.37,18933.630159848337
0.38,19532.89145672137
0.39,20082.180919849296
0.4,20654.734047591723
0.41000000000000003,21201.136984650024
0.42,21783.882288819448
0.43,22293.809801470095
0.44,22888.629293179147
0.45,23504.992571158928
0.46,24064.04324659491
0.47000000000000003,24686.59388693753
0.48,25359.629426711297
0.49,26087.397094198277
0.5,26616.403137108366
0.51,27320.08173988425
0.52,27943.372941196656
0.53,28601.667759852895
0.54,29372.50279902957
0.55,30053.706565865665
0.56,30734.90186958774
0.5700000000000001,31337.698946651737
0.58,32069.202446986474
0.59,32801.81794552529
0.6,33540.425273661
0.61,34172.87630936958
0.62,34895.95734372706
0.63,35775.626756559446
0.64,36619.87905654479
0.65,37382.90919737012
0.66,38187.54826533108
0.67,39216.71495768536
0.68,40102.520695628475
0.6900000000000001,41090.31621645931
0.7000000000000001,41972.23586072591
0.71,42986.38225452238
0.72,43911.79907592294
0.73,44730.53275737955
0.74,45733.09716599576
0.75,47007.57475360367
0.76,48153.54820947562
0.77,49332.521217370806
0.78,50531.74397630892
0.79,51893.04424611728
0.8,53242.01014439011
0.81,54782.81146980713
0.8200000000000001,56180.04027321469
0.8300000000000001,57596.86870394746
0.84,59561.53656248875
0.85,61608.649607978296
0.86,63711.73389179728
0.87,65785.94827912466
0.88,67965.99917650978
0.89,70691.0993193026
0.9,73347.23369703368
0.91,76270.11163586608
0.92,79916.77436869904
0.93,84288.25848837297
0.9400000000000001,89507.5100117077
0.9500000000000001,94774.98693787512
0.96,102308.46850078201
0.97,111235.50325183761
0.98,125548.98365131234
0.99,142416.60873961123
1,265657.2306378075
