q,ic50
0,112.56865057937769
0.01,1162.1235324879458
0.02,1718.0702145335395
0.03,2156.14081327403
0.04,2633.8013892129165
0.05,3128.581864256564
0.06,3526.9432771395223
0.07,3928.5391809846055
0.08,4343.7813106677295
0.09,4851.675175285444
0.1,5294.696200356858
0.11,5671.537611758019
0.12,6170.031749719994
0.13,6642.264778368147
0.14,7140.472787873238
0.15,7629.067562408078
0.16,8127.09296509877
0.17,8686.712187253128
0.18,9217.23921053295
0.19,9794.037252626023
0.2,10287.592892963328
0.21,10844.745200767058
0.22,11414.281045835638
0.23,11973.488698463134
0.24,12464.907017707481
0.25,12965.19426807273
0.26,13447.470580207148
0.27,13979.23842843914
0.28,14550.519964347315
0.29,15110.037030905667
0.3,15814.853514836203
0.31,16369.722719877689
0.32,17129.430028011993
0.33,17762.91913207451
0.34,18405.635364793037
0.35000000000000003,19170.335975871134
0.36,19955.119411714146
0.37,20688.14607805895
0.38,21518.906523782738
0.39,22305.64080325159
0.4,23038.366989284077
0.41000000000000003,24003.686707570676
0.42,24823.85060275001
0.43,25695.940975861195
0.44,26442.11115920265
0.45,27400.793020109406
0.46,28291.123535692677
0.47000000000000003,29094.454526750516
0.48,30270.162714065867
0.49,31234.35393618886
0.5,32333.957764311377
0.51,33333.16883844575
0.52,34393.55285730091
0.53,35572.67580600793
0.54,36605.59474242849
0.55,37658.55045580627
0.56,38742.550069477205
0.5700000000000001,40329.229626502456
0.58,41582.095719115314
0.59,42991.450246771245
0.6,44322.9754254122
0.61,45474.58732599573
0.62,46958.547770480356
0.63,48459.00438660867
0.64,50005.85898093721
0.65,51700.06605590817
0.66,53261.73069718755
0.67,54590.17224716843
0.68,56188.184108624235
0.6900000000000001,57696.78188924675
0.7000000000000001,59304.223263322856
0.71,60746.793871843256
0.72,62442.92091827872
0.73,64364.266320236675
0.74,67097.90388150245
0.75,69336.83090255542
0.76,71821.0572184845
0.77,74403.98854564337
0.78,77107.81550935916
0.79,79796.24613522962
0.8,82527.18517256327
0.81,85424.03840740408
0.8200000000000001,88460.87367390012
0.8300000000000001,91790.8573549909
0.84,95615.61098804315
0.85,99621.1432742258
0.86,103869.56617420643
0.87,107578.61879838466
0.88,112601.22394406062
0.89,117199.85152808094
0.9,124175.28040996556
0.91,130866.32928361389
0.92,138341.5758737181
0.93,146671.29721511668
0.9400000000000001,156482.28861929735
0.9500000000000001,169489.57419409393
0.96,187358.04551404403
0.97,205606.49511174098
0.98,233954.03447562284
0.99,292405.226675524
1,809987.8977222596
