q,ic50
0,7.440184410658056
0.01,126.2837539603998
0.02,224.93683934055792
0.03,366.87437219219686
0.04,507.93842197184483
0.05,691.8238424624363
0.06,878.4729820393054
0.07,1059.0930498226057
0.08,1282.053233828565
0.09,1565.2340536976742
0.1,1847.4055693660391
0.11,2082.874368846601
0.12,2380.0874618430885
0.13,2716.1866926315215
0.14,3037.3136510574277
0.15,3448.516030345795
0.16,3842.9551844899465
0.17,4218.433668501726
0.18,4647.556651352482
0.19,5124.634619827045
0.2,5595.8898744061225
0.21,6084.403566998343
0.22,6587.203794297827
0.23,7143.086072988326
0.24,7808.927070705096
0.25,8365.026829508091
0.26,9060.01897090674
0.27,9704.908409759355
0.28,10509.845169923283
0.29,11250.000620552515
0.3,11898.139342301973
0.31,12589.74066606184
0.32,13425.967441056642
0.33,14315.732606560945
0.34,15365.97985078558
0.35000000000000003,16373.950620638821
0.36,17318.041067822756
0.37,18367.86789761923
0.38,19486.671725658405
0.39,20670.404503038488
0.4,21881.886907828448
0.41000000000000003,23161.320594303383
0.42,24609.054182737294
0.43,26015.11912674518
0.44,27702.776416125005
0.45,29438.411241718728
0.46,31076.72681862094
0.47000000000000003,32780.58800818371
0.48,34635.84430607046
0.49,36508.11229159955
0.5,38707.21191206227
0.51,41026.56602542633
0.52,43054.52853987989
0.53,45692.7816011127
0.54,48180.570691439294
0.55,50631.614577437314
0.56,53162.07247191439
0.5700000000000001,55702.42319601208
0.58,59059.47543863698
0.59,62494.59138179055
0.6,66955.6138024212
0.61,70431.67292461076
0.62,75034.41948710437
0.63,78962.69406728433
0.64,83372.14175387599
0.65,89012.12242225454
0.66,94194.56224830207
0.67,98824.15768403842
0.68,104522.53737702058
0.6900000000000001,111854.1219771055
0.7000000000000001,119569.44344812684
0.71,126397.72074078773
0.72,135144.8989843185
0.73,143725.49811933664
0.74,151996.7837403276
0.75,161702.14915054158
0.76,173022.49863194872
0.77,185389.72749126892
0.78,199551.51145443573
0.79,214870.51483204617
0.8,231251.41610036418
0.81,248434.57864863446
0.8200000000000001,269691.0062427427
0.8300000000000001,297518.97677318513
0.84,325492.26875891467
0.85,351940.28103963024
0.86,383277.0700689908
0.87,420774.8498794031
0.88,463121.6760817818
0.89,515991.39572164544
0.9,571503.9684556992
0.91,649352.4574061062
0.92,725858.2641991979
0.93,829224.8739687137
0.9400000000000001,945788.5098601347
0.9500000000000001,1097259.0544566158
0.96,1337418.963734727
0.97,1664416.2297646392
0.98,2268117.643925911
0.99,3668703.1425564126
1,296545269.12814105
