q,ic50
0,1.720264392360666
0.01,110.27734454850234
0.02,288.65536072312756
0.03,564.8164800308524
0.04,899.3530303151683
0.05,1323.4431587650145
0.06,1717.1145053057742
0.07,2335.566012406902
0.08,2906.4471602685007
0.09,3544.2724405483295
0.1,4262.863040850144
0.11,5054.401927402499
0.12,5677.307178678261
0.13,6594.144511920496
0.14,7691.212917659002
0.15,8728.65949164636
0.16,9697.943568638855
0.17,10848.3059210599
0.18,11802.169721983444
0.19,13032.007027804882
0.2,14299.283298142971
0.21,15642.55791400283
0.22,17054.773135429823
0.23,18543.000201866646
0.24,20126.1444943905
0.25,21657.92936173726
0.26,23558.32236764455
0.27,25969.79471557765
0.28,28279.10802586745
0.29,30519.080955059668
0.3,32967.983189944964
0.31,35166.212141084
0.32,37444.97267235306
0.33,40290.950727122974
0.34,42843.49917025035
0.35000000000000003,46884.50157040998
0.36,50409.49404432639
0.37,53954.81450710099
0.38,57570.070275130594
0.39,60494.555844164075
0.4,64268.180610065625
0.41000000000000003,68305.8311202566
0.42,72794.3068751627
0.43,77858.27599353738
0.44,83303.80470695603
0.45,89250.0836000791
0.46,95037.97297958679
0.47000000000000003,101532.33756608225
0.48,106461.23969562208
0.49,112527.28517979696
0.5,119309.02523944186
0.51,128331.23387610228
0.52,134936.99707374125
0.53,144466.2002683757
0.54,153576.0055305059
0.55,165839.05251382146
0.56,175721.0632614001
0.5700000000000001,187504.00306770895
0.58,197905.19558034482
0.59,211722.9306341614
0.6,225041.04877032072
0.61,239036.01777899574
0.62,254480.56962186488
0.63,272908.38491859194
0.64,291326.57609036216
0.65,311750.7333698309
0.66,334652.865285497
0.67,359007.7810662081
0.68,391649.16704170965
0.6900000000000001,415982.789902336
0.7000000000000001,448728.122615992
0.71,480083.6795508119
0.72,512115.7412305605
0.73,552967.9142081526
0.74,589645.1093719343
0.75,638982.4792685612
0.76,682095.1505277213
0.77,730884.3513294598
0.78,781522.1199051151
0.79,860102.4174591182
0.8,927477.7726143942
0.81,1000103.883280918
0.8200000000000001,1067895.5720531177
0.8300000000000001,1158512.20101571
0.84,1264534.4507262127
0.85,1390870.546055197
0.86,1512767.207376666
0.87,1657069.1593750326
0.88,1809441.2756867735
0.89,2072411.9267973788
0.9,2282241.20630843
0.91,2571347.54565128
0.92,2925706.660001439
0.93,3435315.6175450874
0.9400000000000001,3946255.1012053327
0.9500000000000001,4776551.93604045
0.96,5931345.324218752
0.97,7377300.089851065
0.98,10267583.130512267
0.99,17151370.135526735
1,156939527.23302466
