q,ic50
0,87.56944555791294
0.01,770.0581970779913
0.02,1128.8447489664318
0.03,1516.9124158708007
0.04,1844.3557650399216
0.05,2109.5494370697193
0.06,2427.4566256056287
0.07,2765.364598947893
0.08,3058.655569361797
0.09,3372.6010479021365
0.1,3649.1736466813813
0.11,3964.677094144906
0.12,4222.476844117953
0.13,4505.505223086277
0.14,4727.855766061434
0.15,5041.649737044303
0.16,5315.309383877784
0.17,5584.296009959024
0.18,5883.221033097659
0.19,6197.712660583085
0.2,6548.232435172338
0.21,6895.692808785916
0.22,7211.381263483138
0.23,7563.981738087654
0.24,7842.479237860492
0.25,8199.640539408916
0.26,8533.172972083486
0.27,8822.222486121806
0.28,9194.488628627752
0.29,9535.787155076774
0.3,9864.564753815836
0.31,10256.005175823966
0.32,10627.49956975307
0.33,11003.27589305117
0.34,11372.429194194287
0.35000000000000003,11818.742488032774
0.36,12269.414088273832
0.37,12719.541765176087
0.38,13088.543502022365
0.39,13548.780252686749
0.4,13911.334459027625
0.41000000000000003,14349.828902457013
0.42,14778.065582832392
0.43,15179.388770895102
0.44,15685.223119493394
0.45,16165.034727973327
0.46,16633.23865820155
0.47000000000000003,17183.696261387457
0.48,17641.42103951643
0.49,18151.253925462534
0.5,18586.662275389444
0.51,19168.21556172526
0.52,19781.19939211545
0.53,20250.007533226853
0.54,20792.51707352747
0.55,21409.01478469001
0.56,22038.55019755671
0.5700000000000001,22685.422128780177
0.58,23263.042801051946
0.59,23847.275254496657
0.6,24475.905605118693
0.61,25276.17538284731
0.62,25996.142306602123
0.63,26754.013006760702
0.64,27512.062190748
0.65,28245.99139742743
0.66,29066.898365181652
0.67,29923.7472767768
0.68,30825.302677548054
0.6900000000000001,31924.251060274102
0.7000000000000001,33061.90777724181
0.71,34081.29051444947
0.72,35143.579594344934
0.73,36149.84878028812
0.74,37464.15817527144
0.75,38845.63709121089
0.76,40275.06741664216
0.77,41715.43877594099
0.78,43013.969562079124
0.79,44749.74226864391
0.8,46426.5840504586
0.81,48373.47930043554
0.8200000000000001,50464.026194586055
0.8300000000000001,52512.600828666546
0.84,54760.58661002966
0.85,56813.18671781415
0.86,59156.607059487586
0.87,62135.20541737109
0.88,65100.5111249117
0.89,68144.00650572446
0.9,71733.56526853924
0.91,75818.07816945505
0.92,80642.11475711066
0.93,85998.25274562405
0.9400000000000001,93618.79091714666
0.9500000000000001,102361.35870621953
0.96,112910.18342633921
0.97,125123.84492914796
0.98,150593.92607118574
0.99,193781.3247434959
1,939380.411968034
