q,ic50
0,0.3536466919506675
0.01,61.53104116307094
0.02,149.77667719091843
0.03,308.56729493148475
0.04,479.75517004376985
0.05,724.2624511188678
0.06,1057.8456157228038
0.07,1395.1192970670645
0.08,1822.7196166523063
0.09,2284.462667910643
0.1,2953.824033201946
0.11,3594.1657738317267
0.12,4405.5259233542165
0.13,5278.877747513566
0.14,6398.897432344947
0.15,7473.38615221759
0.16,8761.565973481114
0.17,10215.998618699938
0.18,11768.916402936024
0.19,13813.497216577407
0.2,16001.10668317223
0.21,18764.684044687223
0.22,22142.300522433095
0.23,25461.88683139362
0.24,29557.817909170517
0.25,32945.60541700212
0.26,38181.65310699065
0.27,42719.564893566625
0.28,48648.27362960074
0.29,54623.39004208897
0.3,61451.16329927122
0.31,67764.80577857957
0.32,77161.54303705925
0.33,86798.85687230664
0.34,95851.89569105263
0.35000000000000003,105263.69805657165
0.36,117741.73829267421
0.37,131275.99178525645
0.38,145443.6408691021
0.39,157913.52624313757
0.4,173657.3912318379
0.41000000000000003,190771.35288887005
0.42,208166.08072620508
0.43,230791.31205303286
0.44,252866.8322329045
0.45,280204.4301208693
0.46,303541.7869419598
0.47000000000000003,336336.3006859273
0.48,366246.07706634316
0.49,401188.6787761743
0.5,438324.26098981
0.51,473286.59021063324
0.52,510608.8810716962
0.53,553228.9089605048
0.54,605899.5305996832
0.55,660825.1514547318
0.56,728490.1441237126
0.5700000000000001,789822.4543292779
0.58,854591.1977973732
0.59,920606.3917354236
0.6,995956.7797658031
0.61,1076268.1709492158
0.62,1173560.9949795976
0.63,1301270.6578084184
0.64,1417705.074130656
0.65,1538498.163391184
0.66,1652405.6917452225
0.67,1789245.183775317
0.68,1933909.9623766155
0.6900000000000001,2096081.3240211983
0.7000000000000001,2270704.978688405
0.71,2502389.154853442
0.72,2754265.8349356507
0.73,3034566.846799418
0.74,3303406.9879183774
0.75,3607821.293398715
0.76,3958782.1029983955
0.77,4262426.32136868
0.78,4757035.816095499
0.79,5268690.35797987
0.8,5809069.3804819975
0.81,6437271.737834718
0.8200000000000001,7222576.294787039
0.8300000000000001,7987536.6239474155
0.84,8921851.148540337
0.85,10091706.581625521
0.86,11507807.574503524
0.87,13050060.735916914
0.88,14987228.252726056
0.89,16922224.913544048
0.9,19816911.312936272
0.91,24042116.775647532
0.92,28469924.531963494
0.93,34904814.29524745
0.9400000000000001,43375459.38165442
0.9500000000000001,54701804.369137175
0.96,76713171.76718631
0.97,99466697.60565464
0.98,152318373.96285796
0.99,313044120.41027796
1,11722267292.723755
