q,ic50
0,2.397955944875399
0.01,138.16331791984237
0.02,251.73076093554482
0.03,405.72329842373153
0.04,579.9499636893585
0.05,730.7004922450105
0.06,909.3209608616294
0.07,1094.2639463739467
0.08,1318.8257237642304
0.09,1542.4704456140537
0.1,1793.9116265689577
0.11,2063.9411440870804
0.12,2376.8996239394437
0.13,2709.7664779345005
0.14,3089.5446082001376
0.15,3531.7706007226425
0.16,3928.4756700653643
0.17,4368.885526078309
0.18,4908.168871753925
0.19,5463.607099382711
0.2,6010.867969432819
0.21,6684.586948626138
0.22,7172.508796780967
0.23,7887.285865532067
0.24,8633.958767186758
0.25,9430.341105515592
0.26,10238.996255138118
0.27,11067.192377336376
0.28,11847.014546638175
0.29,12778.947478477949
0.3,13746.743113199653
0.31,14668.913683992238
0.32,15914.189110724172
0.33,17310.134948849765
0.34,18605.554590139905
0.35000000000000003,19997.012662163674
0.36,21976.05415055752
0.37,23593.778259755738
0.38,25526.033571517364
0.39,27316.874021256066
0.4,29010.74262714976
0.41000000000000003,31100.022617012775
0.42,33117.517107783526
0.43,35215.7765445123
0.44,37256.00964026713
0.45,39460.51106027022
0.46,41875.09446974643
0.47000000000000003,44134.89225557273
0.48,46731.22706486155
0.49,49684.459479845944
0.5,53051.73092976976
0.51,56252.42626125073
0.52,60356.363139371555
0.53,63967.65724724477
0.54,67899.27267413898
0.55,71371.04081541354
0.56,75764.77195864181
0.5700000000000001,80690.08294258114
0.58,86195.50007390307
0.59,91786.09466060679
0.6,98032.47750205224
0.61,104365.8790575495
0.62,111107.42802103257
0.63,117478.73597601571
0.64,124861.77025369774
0.65,132323.0032727193
0.66,141369.52928587282
0.67,151262.00449816594
0.68,160841.08108385606
0.6900000000000001,170702.49616350065
0.7000000000000001,183643.01437785462
0.71,196826.57953054586
0.72,210608.63853102174
0.73,225187.03441468423
0.74,242297.79349786518
0.75,258499.34823906526
0.76,278562.077803212
0.77,300500.5338306854
0.78,326570.25781556824
0.79,355307.91221502423
0.8,384885.1399384301
0.81,412945.43447587587
0.8200000000000001,453075.3364925574
0.8300000000000001,495255.1319304522
0.84,543207.2059725657
0.85,605067.9929079708
0.86,671625.8999020933
0.87,740484.2508229295
0.88,804283.1884288755
0.89,906839.3911248435
0.9,1035460.0739841856
0.91,1163950.4057482171
0.92,1365230.3940653862
0.93,1600627.1952930884
0.9400000000000001,1883254.6903959573
0.9500000000000001,2293840.4200068465
0.96,2949112.62594847
0.97,3992337.199202339
0.98,5517963.694090589
0.99,10105649.472132845
1,99872564.10613601
