q,ic50
0,115.82358414799964
0.01,889.4582900502827
0.02,1401.8350536403912
0.03,1802.2595090728644
0.04,2381.5522035682143
0.05,2802.0378757031554
0.06,3145.207722959606
0.07,3611.4069833051008
0.08,4000.9274280467152
0.09,4443.6006788407485
0.1,4939.300211291155
0.11,5330.247343670526
0.12,5732.566969255585
0.13,6222.659092049549
0.14,6613.058129600493
0.15,7047.886384417937
0.16,7505.39861236533
0.17,7926.902001325163
0.18,8438.205985761551
0.19,8940.848550145976
0.2,9530.784972825277
0.21,10021.078653030405
0.22,10522.587581828855
0.23,11086.930506225066
0.24,11607.105725269827
0.25,12219.947758020917
0.26,12741.336213053715
0.27,13196.706311449958
0.28,13972.841760884392
0.29,14503.313473013248
0.3,15139.757413144747
0.31,15820.811121015187
0.32,16393.630075092657
0.33,17074.110879449057
0.34,17668.79462676683
0.35000000000000003,18224.14940846736
0.36,18883.800219722696
0.37,19600.572094549512
0.38,20361.50674386212
0.39,21206.421115017187
0.4,22195.449444262013
0.41000000000000003,23013.332926829506
0.42,24001.858810769503
0.43,25134.18932402758
0.44,26046.31934754674
0.45,27047.424606191307
0.46,28073.268206093162
0.47000000000000003,29156.785538639975
0.48,30184.683010676854
0.49,31298.889954018494
0.5,32406.582229981308
0.51,33558.60419088759
0.52,34828.2211466338
0.53,36141.28157796778
0.54,37473.73338940933
0.55,38770.19514755819
0.56,40289.2816474527
0.5700000000000001,41955.1471683314
0.58,43524.42533305024
0.59,45131.37172668235
0.6,46822.44936303119
0.61,48618.60576369667
0.62,50381.50743307414
0.63,52594.56770428108
0.64,54581.805763419536
0.65,56736.57259308972
0.66,59350.32261105134
0.67,61703.51653959605
0.68,64096.08215235177
0.6900000000000001,66336.65580033304
0.7000000000000001,68866.03881937964
0.71,72318.31688976166
0.72,75350.116009512
0.73,78915.13152171641
0.74,82809.08143223982
0.75,86017.31363366332
0.76,89702.60464768848
0.77,93297.77496668692
0.78,98143.46778066375
0.79,103016.31490976836
0.8,109010.0986575041
0.81,116081.86733769943
0.8200000000000001,122865.75894212586
0.8300000000000001,130608.66287437556
0.84,137082.79833324175
0.85,144659.92053156902
0.86,152493.6141255352
0.87,162917.91375417978
0.88,173075.55305679317
0.89,185394.7564165469
0.9,201153.06741804926
0.91,217634.91984280094
0.92,235876.12606462208
0.93,258660.93566692952
0.9400000000000001,291001.6032054206
0.9500000000000001,321582.3163980541
0.96,367193.4567221274
0.97,447784.8506399974
0.98,556928.2246392351
0.99,769560.1681286613
1,2928718.968338619
