q,ic50
0,7.980599194328644
0.01,148.5210757304145
0.02,287.892515979262
0.03,435.96542600009207
0.04,578.9187975384024
0.05,718.9353114681692
0.06,894.0509749078774
0.07,1062.8733135907785
0.08,1278.827968861684
0.09,1498.4790538109442
0.1,1721.1116549542658
0.11,1964.0435007447106
0.12,2225.874660897959
0.13,2485.653021330647
0.14,2740.090725907207
0.15,3048.4553626849047
0.16,3354.998840553359
0.17,3652.795213351412
0.18,4021.876731127074
0.19,4344.9891228100405
0.2,4657.6229009651315
0.21,5079.982881414791
0.22,5465.629991993574
0.23,5830.062199599687
0.24,6229.35958248365
0.25,6710.2667119527805
0.26,7140.494405458818
0.27,7630.577329978043
0.28,8172.837315982701
0.29,8706.386077981673
0.3,9214.751729282074
0.31,9803.224520572703
0.32,10439.224601718015
0.33,11166.809765138121
0.34,11752.51091199401
0.35000000000000003,12411.59799154082
0.36,13127.358384269603
0.37,13782.918242801756
0.38,14490.672219606931
0.39,15253.34324611288
0.4,16003.836272591823
0.41000000000000003,16909.411265818646
0.42,17860.541129826546
0.43,18823.375831325895
0.44,19724.333658775944
0.45,20855.991736806114
0.46,22013.11136498842
0.47000000000000003,23095.062215073878
0.48,24193.66716832204
0.49,25218.147254929863
0.5,26314.323991069545
0.51,27664.2543830876
0.52,28831.87635148449
0.53,30182.96829059106
0.54,31815.37511885659
0.55,33306.57344197044
0.56,35215.95157831443
0.5700000000000001,36799.95500024564
0.58,38706.84930490269
0.59,40508.75790112511
0.6,42447.55882089422
0.61,44759.31857351508
0.62,46792.47251931889
0.63,49161.21618282922
0.64,51669.14435403688
0.65,54445.737206203856
0.66,57353.75432043143
0.67,60307.050950895034
0.68,63376.05621367435
0.6900000000000001,66564.12248589961
0.7000000000000001,69248.31224201417
0.71,72993.7339495956
0.72,76486.27849868956
0.73,81184.47827626437
0.74,85748.87224535327
0.75,89695.91239796714
0.76,94064.3586293889
0.77,98453.78454525738
0.78,104173.23104620315
0.79,109482.66510525502
0.8,117129.73578431655
0.81,124214.50174515531
0.8200000000000001,131683.7135931044
0.8300000000000001,140841.95022005503
0.84,150019.97081062538
0.85,160825.8978688628
0.86,172205.84182412273
0.87,184851.14776470442
0.88,201625.25664106786
0.89,221692.2317641382
0.9,247206.85049315143
0.91,271205.37001595215
0.92,302736.3104477273
0.93,339573.7473560398
0.9400000000000001,385439.5339672842
0.9500000000000001,447766.93860480515
0.96,543782.6957972342
0.97,680480.7906828392
0.98,901872.8632945254
0.99,1361516.6116556353
1,13282202.58587966
